Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,76.639999,77.769997,75.830002,77.699997,58.837158,302100
2006-01-04,77.699997,79.559998,77.5,78.75,59.632252,223000
2006-01-05,79.25,80.050003,79.010002,79.989998,60.571217,329600
2006-01-06,80.0,81.199997,79.959999,81.099998,61.41177,159600
2006-01-09,80.970001,82.010002,80.739998,81.639999,61.820667,158500
2006-01-10,81.400002,83.779999,81.300003,82.410004,62.403763,303600
2006-01-11,82.809998,82.900002,81.860001,82.190002,62.237148,236300
2006-01-12,82.190002,82.190002,81.190002,81.779999,61.92667,221000
2006-01-13,81.68,81.68,80.309998,80.68,61.093735,129200
2006-01-17,80.68,81.550003,80.25,81.5,61.714649,205400
2006-01-18,81.25,81.989998,81.099998,81.400002,61.63892,121600
2006-01-19,81.25,82.75,81.07,82.739998,62.653641,125200
2006-01-20,82.540001,82.660004,81.059998,81.400002,61.63892,234400
2006-01-23,81.300003,82.300003,81.300003,82.230003,62.267471,94700
2006-01-24,82.75,84.089996,82.599998,83.989998,63.600197,305700
2006-01-25,83.800003,84.839996,83.68,84.300003,63.83493,250600
2006-01-26,83.730003,84.769997,83.730003,84.650002,64.09996,271100
2006-01-27,85.599998,86.099998,85.190002,85.269997,64.56942,521000
2006-01-30,85.519997,85.519997,84.529999,84.760002,64.18325,272600
2006-01-31,84.599998,84.790001,83.660004,84.040001,63.638035,364100
2006-02-01,84.239998,84.599998,83.620003,83.800003,63.456314,292400
2006-02-02,83.800003,83.949997,83.309998,83.389999,63.14584,324400
2006-02-03,83.139999,83.269997,81.370003,82.800003,62.699062,249300
2006-02-06,82.699997,82.989998,82.150002,82.5,62.471859,222100
2006-02-07,82.349998,82.75,81.639999,81.75,61.903957,117500
2006-02-08,82.239998,82.239998,80.75,81.599998,61.790379,251900
2006-02-09,81.800003,82.949997,81.480003,82.32,62.335579,224800
2006-02-10,82.410004,83.199997,82.120003,83.099998,62.926197,325000
2006-02-13,83.129997,83.540001,82.800003,83.349998,63.115551,144500
2006-02-14,83.349998,84.989998,82.419998,84.300003,63.83493,334700
2006-02-15,84.199997,84.699997,83.910004,84.440002,63.940941,225900
2006-02-16,84.550003,85.300003,84.449997,85.300003,64.592178,147300
2006-02-17,85.43,86.739998,85.050003,86.440002,65.455406,198300
2006-02-21,86.379997,86.699997,85.949997,86.550003,65.538719,237500
2006-02-22,86.400002,87.290001,86.0,86.879997,65.788582,273200
2006-02-23,86.900002,87.209999,86.400002,86.989998,65.87188,109500
2006-02-24,86.879997,87.199997,86.279999,86.720001,65.667435,176900
2006-02-27,86.830002,86.860001,86.010002,86.150002,65.235786,171400
2006-02-28,85.900002,86.940002,85.080002,86.910004,65.811287,233700
2006-03-01,87.110001,87.349998,86.389999,87.230003,66.053596,219600
2006-03-02,87.139999,88.43,86.75,87.790001,66.477654,332500
2006-03-03,87.589996,88.169998,87.080002,87.900002,66.560959,346500
2006-03-06,88.230003,91.839996,88.099998,91.699997,69.438461,464300
2006-03-07,92.0,92.760002,90.360001,91.260002,69.105255,461500
2006-03-08,90.900002,92.400002,90.010002,92.400002,69.968513,243600
2006-03-09,92.599998,93.510002,92.089996,93.099998,70.498573,207900
2006-03-10,93.010002,94.25,92.550003,93.550003,70.839348,227200
2006-03-13,93.75,94.190002,92.769997,93.309998,70.657608,203400
2006-03-14,93.25,94.349998,93.18,94.150002,71.293663,145000
2006-03-15,95.349998,98.639999,95.199997,98.120003,74.299904,732600
2006-03-16,99.650002,100.470001,99.199997,100.400002,76.026405,439200
2006-03-17,102.050003,103.129997,101.489998,103.089996,78.063377,472500
2006-03-20,104.050003,104.07,99.0,99.290001,75.185875,359400
2006-03-21,99.290001,100.019997,97.699997,98.470001,74.564941,368500
2006-03-22,97.0,98.400002,96.519997,98.169998,74.337753,305500
2006-03-23,97.75,99.290001,97.300003,99.150002,75.07988,190100
2006-03-24,99.32,99.650002,98.589996,98.599998,74.663383,315100
2006-03-27,98.599998,99.050003,97.629997,98.639999,74.693649,235000
2006-03-28,98.889999,101.739998,98.660004,101.190002,76.624611,307500
2006-03-29,102.25,104.470001,102.25,103.07,78.513748,603900
2006-03-30,103.32,103.339996,99.949997,100.5,76.556061,330900
2006-03-31,100.360001,101.5,99.059998,101.5,77.317795,357400
2006-04-03,101.349998,101.470001,97.449997,97.849998,74.537407,338600
2006-04-04,97.949997,98.440002,97.339996,97.699997,74.423149,330300
2006-04-05,97.949997,99.889999,97.790001,99.470001,75.771469,283800
2006-04-06,99.949997,99.949997,99.010002,99.510002,75.801918,292800
2006-04-07,98.800003,99.339996,98.650002,99.150002,75.527695,247300
2006-04-10,98.0,98.690002,97.019997,97.75,74.461235,422900
2006-04-11,97.610001,98.169998,97.040001,97.599998,74.346977,173600
2006-04-12,97.449997,97.830002,96.690002,97.040001,73.92038,397300
2006-04-13,96.940002,96.940002,94.610001,95.309998,72.602577,313100
2006-04-17,94.0,95.769997,94.0,95.699997,72.899635,271800
2006-04-18,95.800003,97.650002,95.489998,97.440002,74.225067,347100
2006-04-19,97.75,101.300003,97.75,100.980003,76.9217,512100
2006-04-20,100.730003,101.230003,99.190002,100.550003,76.594154,670900
2006-04-21,100.75,102.080002,100.379997,101.870003,77.599663,354600
2006-04-24,101.769997,102.400002,100.870003,101.25,77.12738,324400
2006-04-25,100.989998,101.910004,99.660004,100.139999,76.281822,209500
2006-04-26,100.0,101.300003,98.959999,99.699997,75.946617,466900
2006-04-27,99.300003,100.690002,98.730003,99.730003,75.969521,296300
2006-04-28,99.480003,100.32,98.800003,99.0,75.413429,237000
2006-05-01,99.199997,100.0,97.599998,98.25,74.842125,409200
2006-05-02,98.5,99.150002,97.75,98.459999,75.002068,527200
2006-05-03,98.309998,98.989998,98.0,98.720001,75.20015,288500
2006-05-04,98.970001,99.449997,98.699997,99.330002,75.66481,179200
2006-05-05,100.330002,101.459999,99.989998,101.370003,77.218758,218700
2006-05-08,101.620003,102.480003,101.190002,102.25,77.889099,223700
2006-05-09,102.550003,103.5,101.459999,102.529999,78.102402,168600
2006-05-10,102.699997,104.510002,102.699997,103.889999,79.13839,290300
2006-05-11,103.889999,105.139999,102.050003,102.440002,78.033852,462700
2006-05-12,101.940002,101.970001,100.290001,100.900002,76.860741,276300
2006-05-15,100.900002,101.989998,99.690002,101.150002,77.051208,431700
2006-05-16,101.349998,102.110001,101.07,101.519997,77.333046,222100
2006-05-17,100.769997,101.769997,98.400002,98.830002,75.283943,319000
2006-05-18,99.150002,101.099998,99.150002,99.82,76.038078,338100
2006-05-19,100.07,101.82,98.32,99.150002,75.527695,424800
2006-05-22,98.839996,98.889999,97.309998,98.419998,74.971626,259400
2006-05-23,99.0,99.25,97.779999,97.940002,74.605988,206600
2006-05-24,98.0,98.639999,96.360001,97.379997,74.179405,342000
2006-05-25,98.5,99.589996,98.129997,99.0,75.413429,364100
2006-05-26,99.75,101.669998,99.089996,101.339996,77.19593,395800
2006-05-30,101.150002,102.220001,100.330002,100.410004,76.487503,410600
